,Gen,genInt,line,sex,Group,Rep,scenario,strategy,trait
421,34,4.08677578591842,dam,F,import,0,0_0,GenGen,13
422,35,4.9875,dam,M,import,0,0_0,GenGen,13
423,34,3.56767991686152,sire,F,import,0,0_0,GenGen,13
424,35,4.12,sire,M,import,0,0_0,GenGen,13
425,35,4.07820213042349,dam,F,import,0,0_0,GenGen,13
426,36,4.995,dam,M,import,0,0_0,GenGen,13
427,35,3.5253312548714,sire,F,import,0,0_0,GenGen,13
428,36,4.1025,sire,M,import,0,0_0,GenGen,13
429,36,4.08625617043388,dam,F,import,0,0_0,GenGen,13
430,37,5.005,dam,M,import,0,0_0,GenGen,13
431,36,3.50870355936607,sire,F,import,0,0_0,GenGen,13
432,37,4.0425,sire,M,import,0,0_0,GenGen,13
433,37,4.08080020784619,dam,F,import,0,0_0,GenGen,13
434,38,5.0175,dam,M,import,0,0_0,GenGen,13
435,37,3.60924915562484,sire,F,import,0,0_0,GenGen,13
436,38,3.8925,sire,M,import,0,0_0,GenGen,13
437,38,4.08703559366069,dam,F,import,0,0_0,GenGen,13
438,39,5.0375,dam,M,import,0,0_0,GenGen,13
439,38,3.64068589243959,sire,F,import,0,0_0,GenGen,13
440,39,4.0625,sire,M,import,0,0_0,GenGen,13
441,39,4.05170174071187,dam,F,import,0,0_0,GenGen,13
442,40,4.9725,dam,M,import,0,0_0,GenGen,13
443,39,3.63029358274877,sire,F,import,0,0_0,GenGen,13
444,40,4.0075,sire,M,import,0,0_0,GenGen,13
445,40,4.06131462717589,dam,F,import,0,0_0,GenGen,13
446,41,5,dam,M,import,0,0_0,GenGen,13
447,40,3.58664588204729,sire,F,import,0,0_0,GenGen,13
448,41,4.0925,sire,M,import,0,0_0,GenGen,13
449,41,4.0639127045986,dam,F,import,0,0_0,GenGen,13
450,42,4.9825,dam,M,import,0,0_0,GenGen,13
