,Gen,genInt,line,sex,Group,Rep,scenario,strategy
356,24,7.86281588447653,sire,M,home,3,50_50,GenGen
357,24,4.0984671343206,dam,F,home,3,50_50,GenGen
358,25,5.05415162454874,dam,M,home,3,50_50,GenGen
359,24,5.94557027799428,sire,F,home,3,50_50,GenGen
360,25,8.04693140794224,sire,M,home,3,50_50,GenGen
361,25,4.05118212522733,dam,F,home,3,50_50,GenGen
362,26,4.97833935018051,dam,M,home,3,50_50,GenGen
363,25,5.87737074564822,sire,F,home,3,50_50,GenGen
364,26,7.96028880866426,sire,M,home,3,50_50,GenGen
365,26,4.06443232008314,dam,F,home,3,50_50,GenGen
366,27,4.97472924187726,dam,M,home,3,50_50,GenGen
367,26,5.97440893738633,sire,F,home,3,50_50,GenGen
368,27,8.14801444043321,sire,M,home,3,50_50,GenGen
369,27,4.13159262146012,dam,F,home,3,50_50,GenGen
370,28,5.03249097472924,dam,M,home,3,50_50,GenGen
371,27,5.88204728500909,sire,F,home,3,50_50,GenGen
372,28,8.04332129963899,sire,M,home,3,50_50,GenGen
373,28,4.11262665627436,dam,F,home,3,50_50,GenGen
374,29,4.95667870036101,dam,M,home,3,50_50,GenGen
375,28,5.79098467134321,sire,F,home,3,50_50,GenGen
376,29,7.92418772563177,sire,M,home,3,50_50,GenGen
377,29,4.12613665887244,dam,F,home,3,50_50,GenGen
378,30,4.985559566787,dam,M,home,3,50_50,GenGen
379,29,5.79488178747727,sire,F,home,3,50_50,GenGen
380,30,8,sire,M,home,3,50_50,GenGen
381,30,4.13211223694466,dam,F,home,3,50_50,GenGen
382,31,4.99638989169675,dam,M,home,3,50_50,GenGen
383,30,5.73044946739413,sire,F,home,3,50_50,GenGen
384,31,7.94584837545126,sire,M,home,3,50_50,GenGen
385,31,4.07989088074825,dam,F,home,3,50_50,GenGen
386,32,5.01083032490975,dam,M,home,3,50_50,GenGen
387,31,5.96050922317485,sire,F,home,3,50_50,GenGen
388,32,7.9783393501805,sire,M,home,3,50_50,GenGen
389,32,4.07820213042349,dam,F,home,3,50_50,GenGen
390,33,4.94945848375451,dam,M,home,3,50_50,GenGen
391,32,5.94154325798909,sire,F,home,3,50_50,GenGen
392,33,7.87364620938628,sire,M,home,3,50_50,GenGen
393,33,4.09677838399584,dam,F,home,3,50_50,GenGen
394,34,4.97472924187726,dam,M,home,3,50_50,GenGen
395,33,5.89633671083398,sire,F,home,3,50_50,GenGen
396,34,7.7942238267148,sire,M,home,3,50_50,GenGen
397,34,4.08846453624318,dam,F,home,3,50_50,GenGen
398,35,4.95306859205776,dam,M,home,3,50_50,GenGen
399,34,5.84112756560145,sire,F,home,3,50_50,GenGen
400,35,7.94223826714801,sire,M,home,3,50_50,GenGen
401,35,4.09664848012471,dam,F,home,3,50_50,GenGen
402,36,5.00361010830325,dam,M,home,3,50_50,GenGen
403,35,5.8398285268901,sire,F,home,3,50_50,GenGen
404,36,8.07220216606498,sire,M,home,3,50_50,GenGen
405,36,4.10132501948558,dam,F,home,3,50_50,GenGen
406,37,5.02527075812274,dam,M,home,3,50_50,GenGen
407,36,5.82579890880748,sire,F,home,3,50_50,GenGen
408,37,7.95667870036101,sire,M,home,3,50_50,GenGen
409,37,4.10496232787737,dam,F,home,3,50_50,GenGen
410,38,5.02527075812274,dam,M,home,3,50_50,GenGen
411,37,5.91023642504547,sire,F,home,3,50_50,GenGen
412,38,7.9927797833935,sire,M,home,3,50_50,GenGen
413,38,4.10041569238763,dam,F,home,3,50_50,GenGen
414,39,5.014440433213,dam,M,home,3,50_50,GenGen
415,38,5.87996882307093,sire,F,home,3,50_50,GenGen
416,39,8.08303249097473,sire,M,home,3,50_50,GenGen
417,58,4.10782021304235,dam,F,home,3,50_50,GenGen
418,59,5.07246376811594,dam,M,home,3,50_50,GenGen
419,58,3.93998441153546,sire,F,home,3,50_50,GenGen
420,59,3.91304347826087,sire,M,home,3,50_50,GenGen
421,19,1,dam,F,import,3,50_50,GenGen
422,20,1,dam,M,import,3,50_50,GenGen
423,19,1,sire,F,import,3,50_50,GenGen
424,20,1,sire,M,import,3,50_50,GenGen
425,20,1,dam,F,import,3,50_50,GenGen
426,21,5.014440433213,dam,M,import,3,50_50,GenGen
427,20,1,sire,F,import,3,50_50,GenGen
428,21,7.95667870036101,sire,M,import,3,50_50,GenGen
429,21,4.20122109638867,dam,F,import,3,50_50,GenGen
430,22,4.96028880866426,dam,M,import,3,50_50,GenGen
431,21,6.20239023122889,sire,F,import,3,50_50,GenGen
432,22,8.07581227436823,sire,M,import,3,50_50,GenGen
433,22,4.18602234346584,dam,F,import,3,50_50,GenGen
434,23,5.02166064981949,dam,M,import,3,50_50,GenGen
435,22,6.26955053260587,sire,F,import,3,50_50,GenGen
436,23,8.014440433213,sire,M,import,3,50_50,GenGen
437,23,4.16250974279034,dam,F,import,3,50_50,GenGen
438,24,4.985559566787,dam,M,import,3,50_50,GenGen
439,23,5.89607690309171,sire,F,import,3,50_50,GenGen
440,24,7.86281588447653,sire,M,import,3,50_50,GenGen
441,24,4.0984671343206,dam,F,import,3,50_50,GenGen
442,25,5.05415162454874,dam,M,import,3,50_50,GenGen
443,24,5.94557027799428,sire,F,import,3,50_50,GenGen
444,25,8.04693140794224,sire,M,import,3,50_50,GenGen
