,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
3,Male candidates1,EBV39,0.020134303723375945,import,10_10,0,39
4,Mothers,EBV39,0.4310823317808032,import,10_10,0,39
0,Fathers,EBV40,0.1680280596619796,import,10_10,0,40
1,Female candidates,EBV40,0.16969302359500288,import,10_10,0,40
2,Male candidates,EBV40,0.19360243451570128,import,10_10,0,40
3,Male candidates1,EBV40,0.010027270038976596,import,10_10,0,40
4,Mothers,EBV40,0.4235111325266276,import,10_10,0,40
0,Fathers,EBV41,0.26676338910255787,import,10_10,0,41
1,Female candidates,EBV41,0.2739819424150571,import,10_10,0,41
2,Male candidates,EBV41,0.04878757428436567,import,10_10,0,41
3,Mothers,EBV41,0.6191686682405463,import,10_10,0,41
0,Fathers,EBV42,0.39962895795392345,import,10_10,0,42
1,Female candidates,EBV42,0.2737180289774341,import,10_10,0,42
2,Male candidates,EBV42,0.6861363073719629,import,10_10,0,42
3,Mothers,EBV42,0.5954263253704339,import,10_10,0,42
0,Fathers,EBV43,0.604583067745171,import,10_10,0,43
1,Female candidates,EBV43,0.3207886231639303,import,10_10,0,43
2,Male candidates,EBV43,0.6741100704298141,import,10_10,0,43
3,Mothers,EBV43,0.5819576875897263,import,10_10,0,43
0,Fathers,EBV44,0.7544404741040283,import,10_10,0,44
1,Female candidates,EBV44,0.3523029097495158,import,10_10,0,44
2,Male candidates,EBV44,0.7524217223230615,import,10_10,0,44
3,Mothers,EBV44,0.5756424504859547,import,10_10,0,44
0,Fathers,EBV45,0.8067373266230554,import,10_10,0,45
1,Female candidates,EBV45,0.39625773655902197,import,10_10,0,45
2,Male candidates,EBV45,0.7575775774214252,import,10_10,0,45
3,Mothers,EBV45,0.6088608761211636,import,10_10,0,45
0,Fathers,EBV46,0.8046414369677221,import,10_10,0,46
1,Female candidates,EBV46,0.41346688729480213,import,10_10,0,46
2,Male candidates,EBV46,0.7284618931872372,import,10_10,0,46
3,Mothers,EBV46,0.6292478321397151,import,10_10,0,46
0,Fathers,EBV47,0.6886869892818722,import,10_10,0,47
1,Female candidates,EBV47,0.4205223406482368,import,10_10,0,47
2,Male candidates,EBV47,0.7500919715655546,import,10_10,0,47
3,Mothers,EBV47,0.6405778041748025,import,10_10,0,47
0,Fathers,EBV48,0.5831648916619837,import,10_10,0,48
1,Female candidates,EBV48,0.40118662447836495,import,10_10,0,48
2,Male candidates,EBV48,0.695114681408852,import,10_10,0,48
3,Mothers,EBV48,0.6502715787116871,import,10_10,0,48
0,Fathers,EBV49,0.5573167118260697,import,10_10,0,49
1,Female candidates,EBV49,0.3653959398908529,import,10_10,0,49
2,Male candidates,EBV49,0.7869962181393763,import,10_10,0,49
3,Mothers,EBV49,0.6546695786778721,import,10_10,0,49
0,Fathers,EBV50,0.6183694544722913,import,10_10,0,50
1,Female candidates,EBV50,0.361357216569262,import,10_10,0,50
2,Male candidates,EBV50,0.7434132293583298,import,10_10,0,50
3,Mothers,EBV50,0.6571986622897483,import,10_10,0,50
0,Fathers,EBV51,0.6903787971148969,import,10_10,0,51
1,Female candidates,EBV51,0.3997550752036536,import,10_10,0,51
2,Male candidates,EBV51,0.7468530681628561,import,10_10,0,51
3,Mothers,EBV51,0.6502466566060734,import,10_10,0,51
0,Fathers,EBV52,0.6817144727345822,import,10_10,0,52
1,Female candidates,EBV52,0.41124670537635843,import,10_10,0,52
2,Male candidates,EBV52,0.7218502398456684,import,10_10,0,52
3,Mothers,EBV52,0.6457734301625527,import,10_10,0,52
0,Fathers,EBV53,0.7080852838156433,import,10_10,0,53
1,Female candidates,EBV53,0.39461972352854524,import,10_10,0,53
2,Male candidates,EBV53,0.7390549489784011,import,10_10,0,53
3,Mothers,EBV53,0.6548548255591997,import,10_10,0,53
0,Fathers,EBV54,0.696271529273508,import,10_10,0,54
1,Female candidates,EBV54,0.37687604857979484,import,10_10,0,54
2,Male candidates,EBV54,0.7154185174172254,import,10_10,0,54
3,Mothers,EBV54,0.657339492889827,import,10_10,0,54
0,Fathers,EBV55,0.6151710425472506,import,10_10,0,55
1,Female candidates,EBV55,0.3939291069514922,import,10_10,0,55
2,Male candidates,EBV55,0.7272551189756813,import,10_10,0,55
3,Mothers,EBV55,0.6547588272131096,import,10_10,0,55
