Strategy,Scenario,Group,Gen,Cat,Cor
ClassGen,100_100,home,28,Male candidates,0.16228944251701574
ClassGen,100_100,home,28,Male candidates1,-0.06418040608408092
ClassGen,100_100,home,28,Mothers,0.1429311506756514
ClassGen,100_100,home,29,Fathers,-0.12507019583078596
ClassGen,100_100,home,29,Female candidates,-0.028056909464463986
ClassGen,100_100,home,29,Male candidates,0.05845030865069618
ClassGen,100_100,home,29,Male candidates1,-0.049128658942814527
ClassGen,100_100,home,29,Mothers,0.1049629655300555
ClassGen,100_100,home,30,Fathers,-0.3847108019628472
ClassGen,100_100,home,30,Female candidates,-0.11326082123009262
ClassGen,100_100,home,30,Male candidates,0.05678320347160816
ClassGen,100_100,home,30,Male candidates1,-0.0902528957136858
ClassGen,100_100,home,30,Mothers,0.05570603889717893
ClassGen,100_100,home,31,Fathers,0.0867631968017128
ClassGen,100_100,home,31,Female candidates,-0.14762400237761011
ClassGen,100_100,home,31,Male candidates,0.4765303820185045
ClassGen,100_100,home,31,Male candidates1,0.20321777152197493
ClassGen,100_100,home,31,Mothers,0.05340820046128016
ClassGen,100_100,home,32,Fathers,0.16038108169941148
ClassGen,100_100,home,32,Female candidates,-0.04965606855924858
ClassGen,100_100,home,32,Male candidates,0.5159531299920093
ClassGen,100_100,home,32,Male candidates1,0.07382325753081052
ClassGen,100_100,home,32,Mothers,0.05746054614347908
ClassGen,100_100,home,33,Fathers,0.2685771071829509
ClassGen,100_100,home,33,Female candidates,-0.08447314343875795
ClassGen,100_100,home,33,Male candidates,0.5125502834075124
ClassGen,100_100,home,33,Male candidates1,0.12609460741317374
ClassGen,100_100,home,33,Mothers,0.05119188010820659
ClassGen,100_100,home,34,Fathers,0.3690213501662064
ClassGen,100_100,home,34,Female candidates,-0.033053583279848094
ClassGen,100_100,home,34,Male candidates,0.48534224544329
ClassGen,100_100,home,34,Male candidates1,0.3815292852614854
ClassGen,100_100,home,34,Mothers,0.07880137822251915
ClassGen,100_100,home,35,Fathers,0.50180360252243
ClassGen,100_100,home,35,Female candidates,-0.0575421591629637
ClassGen,100_100,home,35,Male candidates,0.321747295799091
ClassGen,100_100,home,35,Male candidates1,-0.059569139102078186
ClassGen,100_100,home,35,Mothers,0.0918923298357339
ClassGen,100_100,home,36,Fathers,0.44162929111164334
ClassGen,100_100,home,36,Female candidates,-0.017214488655233815
ClassGen,100_100,home,36,Male candidates,0.43456912152522403
ClassGen,100_100,home,36,Male candidates1,0.2486960988917643
ClassGen,100_100,home,36,Mothers,0.092871389030942
ClassGen,100_100,home,37,Fathers,0.40220463729392125
ClassGen,100_100,home,37,Female candidates,0.07125897273975854
ClassGen,100_100,home,37,Male candidates,0.43605644388551346
ClassGen,100_100,home,37,Male candidates1,0.2538334685793246
ClassGen,100_100,home,37,Mothers,0.11951760903084561
ClassGen,100_100,home,38,Fathers,0.3721874657588977
ClassGen,100_100,home,38,Female candidates,0.07562990537966235
ClassGen,100_100,home,38,Male candidates,0.4473936464304573
ClassGen,100_100,home,38,Male candidates1,0.2391651807140425
ClassGen,100_100,home,38,Mothers,0.143347314115843
ClassGen,100_100,home,39,Fathers,0.25772489172480706
ClassGen,100_100,home,39,Female candidates,0.06140147366319911
ClassGen,100_100,home,39,Male candidates,0.5324683683550145
ClassGen,100_100,home,39,Male candidates1,0.04617319139938822
ClassGen,100_100,home,39,Mothers,0.15292044963918439
ClassGen,100_100,home,40,Fathers,0.29625809610168896
ClassGen,100_100,home,40,Female candidates,0.07862434807220886
ClassGen,100_100,home,40,Male candidates,0.5075779893507256
ClassGen,100_100,home,40,Male candidates1,0.09114551679585813
ClassGen,100_100,home,40,Mothers,0.18012739022075638
ClassGen,100_100,home,41,Fathers,0.4516043427361932
