Group,Scenario,Generation,Category,Cor
home,10_10,49,Mothers,0.722563682766
home,10_10,50,Fathers,0.663113262665
home,10_10,50,Female candidates,0.409984358433
home,10_10,50,Male candidates,0.713038378225
home,10_10,50,Mothers,0.712346286586
home,10_10,51,Fathers,0.678269286714
home,10_10,51,Female candidates,0.391178182087
home,10_10,51,Male candidates,0.748828369868
home,10_10,51,Mothers,0.713064954842
home,10_10,52,Fathers,0.738305000227
home,10_10,52,Female candidates,0.407248088123
home,10_10,52,Male candidates,0.742191069835
home,10_10,52,Mothers,0.70821892522
home,10_10,53,Fathers,0.780099058893
home,10_10,53,Female candidates,0.416820170721
home,10_10,53,Male candidates,0.71356193799
home,10_10,53,Mothers,0.700409293214
home,10_10,54,Fathers,0.799238001791
home,10_10,54,Female candidates,0.425791190463
home,10_10,54,Male candidates,0.759099260442
home,10_10,54,Mothers,0.7025736457
home,10_10,55,Fathers,0.795555531118
home,10_10,55,Female candidates,0.431288540181
home,10_10,55,Male candidates,0.745286607732
home,10_10,55,Mothers,0.700315974512
home,10_10,56,Fathers,0.754831263729
home,10_10,56,Female candidates,0.420846308139
home,10_10,56,Male candidates,0.702078773029
home,10_10,56,Mothers,0.702199923961
home,10_10,57,Fathers,0.752075558793
home,10_10,57,Female candidates,0.406992016168
home,10_10,57,Male candidates,0.759165188412
home,10_10,57,Mothers,0.704083632123
home,10_10,58,Fathers,0.70849928292
home,10_10,58,Female candidates,0.405067189728
home,10_10,58,Male candidates,0.783322695019
home,10_10,58,Mothers,0.704779542536
home,10_10,59,Fathers,0.723631554903
home,10_10,59,Female candidates,0.378937740212
home,10_10,59,Male candidates,0.755428805139
home,10_10,59,Mothers,0.700766059642
home,10_10,60,Fathers,0.782599066059
home,10_10,60,Female candidates,0.39167202828
home,10_10,60,Male candidates,0.689717466484
home,10_10,60,Mothers,0.692378029419
home,10_10,60,izl,0.00153196708212
home,50_50,21,Fathers,-0.232838857528
home,50_50,21,Female candidates,0.139775330168
home,50_50,21,Male candidates,0.136372217876
home,50_50,21,Male candidates1,0.018310097116
home,50_50,21,Mothers,0.376828730284
home,50_50,22,Fathers,-0.031663255626
home,50_50,22,Female candidates,0.136157167934
home,50_50,22,Male candidates,0.0791004489231
home,50_50,22,Male candidates1,-0.125518058034
home,50_50,22,Mothers,0.442969155111
home,50_50,23,Fathers,0.0962541069936
home,50_50,23,Female candidates,0.226703519232
home,50_50,23,Male candidates,0.0561513299818
home,50_50,23,Male candidates1,0.0703645795922
home,50_50,23,Mothers,0.525858228051
home,50_50,24,Fathers,0.560851308253
home,50_50,24,Female candidates,0.368808715682
home,50_50,24,Male candidates,0.842814714818
home,50_50,24,Male candidates1,0.325455852481
home,50_50,24,Mothers,0.641258155825
home,50_50,25,Fathers,0.676783339994
home,50_50,25,Female candidates,0.424856246947
home,50_50,25,Male candidates,0.920438808186
home,50_50,25,Male candidates1,0.418781661676
home,50_50,25,Mothers,0.648086689826
home,50_50,26,Fathers,0.768216866106
home,50_50,26,Female candidates,0.421692353943
home,50_50,26,Male candidates,0.926113464738
home,50_50,26,Male candidates1,0.231680136634
home,50_50,26,Mothers,0.623172220007
home,50_50,27,Fathers,0.870797605045
home,50_50,27,Female candidates,0.422422944753
home,50_50,27,Male candidates,0.934720742645
home,50_50,27,Male candidates1,0.147463737473
home,50_50,27,Mothers,0.572267184572
home,50_50,28,Fathers,0.905856398745
home,50_50,28,Female candidates,0.387879435951
home,50_50,28,Male candidates,0.95203787317
home,50_50,28,Male candidates1,0.396974068939
home,50_50,28,Mothers,0.587996278707
home,50_50,29,Fathers,0.921081010223
home,50_50,29,Female candidates,0.409550975783
home,50_50,29,Male candidates,0.900098780614
home,50_50,29,Male candidates1,0.309121426895
home,50_50,29,Mothers,0.583048996055
home,50_50,30,Fathers,0.892735489518
home,50_50,30,Female candidates,0.424866392293
home,50_50,30,Male candidates,0.886872895324
home,50_50,30,Male candidates1,0.415438632293
home,50_50,30,Mothers,0.577070327289
home,50_50,31,Fathers,0.814460829565
home,50_50,31,Female candidates,0.431053015756
home,50_50,31,Male candidates,0.893902651758
home,50_50,31,Male candidates1,0.387147193265
home,50_50,31,Mothers,0.574414090809
home,50_50,32,Fathers,0.777779852205
home,50_50,32,Female candidates,0.399160071074
home,50_50,32,Male candidates,0.940362420297
home,50_50,32,Male candidates1,0.206322454083
home,50_50,32,Mothers,0.578632912529
home,50_50,33,Fathers,0.85220765315
home,50_50,33,Female candidates,0.347388818802
home,50_50,33,Male candidates,0.860314755055
home,50_50,33,Male candidates1,0.156436349396
home,50_50,33,Mothers,0.574434155825
home,50_50,34,Fathers,0.850207857514
home,50_50,34,Female candidates,0.36806400494
home,50_50,34,Male candidates,0.909020254626
home,50_50,34,Male candidates1,0.268647647258
home,50_50,34,Mothers,0.570198338068
home,50_50,35,Fathers,0.870579043545
home,50_50,35,Female candidates,0.361644640378
home,50_50,35,Male candidates,0.877289947566
home,50_50,35,Male candidates1,0.356244138273
home,50_50,35,Mothers,0.556211387671
home,50_50,36,Fathers,0.874593743152
home,50_50,36,Female candidates,0.376587972023
home,50_50,36,Male candidates,0.917833677155
home,50_50,36,Male candidates1,0.180393039083
home,50_50,36,Mothers,0.548690201184
home,50_50,37,Fathers,0.895553762648
home,50_50,37,Female candidates,0.370595901815
home,50_50,37,Male candidates,0.967477851495
home,50_50,37,Male candidates1,0.252801051263
home,50_50,37,Mothers,0.550404566631
home,50_50,38,Fathers,0.912198500453
home,50_50,38,Female candidates,0.345394630627
home,50_50,38,Male candidates,0.829744978865
home,50_50,38,Male candidates1,0.24947451714
home,50_50,38,Mothers,0.551107547052
home,50_50,39,Fathers,0.916827630825
home,50_50,39,Female candidates,0.364553176811
home,50_50,39,Male candidates,0.926097808125
home,50_50,39,Male candidates1,0.168268234176
home,50_50,39,Mothers,0.551533620243
home,50_50,40,Fathers,0.875866998426
home,50_50,40,Female candidates,0.368085000516
home,50_50,40,Male candidates,0.918084581619
home,50_50,40,Male candidates1,0.375807490441
home,50_50,40,Mothers,0.54621134014
home,50_50,41,Fathers,0.617653714857
home,50_50,41,Female candidates,0.499090510802
home,50_50,41,Male candidates,0.371342233581
home,50_50,41,Mothers,0.786557404191
home,50_50,42,Fathers,0.701077788873
home,50_50,42,Female candidates,0.258054201529
home,50_50,42,Male candidates,0.763677546239
home,50_50,42,Mothers,0.741427784881
home,50_50,43,Fathers,0.765626697705
home,50_50,43,Female candidates,0.291417598073
home,50_50,43,Male candidates,0.668150239134
home,50_50,43,Mothers,0.708567821115
home,50_50,44,Fathers,0.79025645471
home,50_50,44,Female candidates,0.362414060876
home,50_50,44,Male candidates,0.707545752694
home,50_50,44,Mothers,0.690306088019
home,50_50,45,Fathers,0.837413232183
home,50_50,45,Female candidates,0.376282787932
home,50_50,45,Male candidates,0.694455575478
home,50_50,45,Mothers,0.699569622801
home,50_50,46,Fathers,0.80983605572
home,50_50,46,Female candidates,0.399549737316
home,50_50,46,Male candidates,0.68514439587
home,50_50,46,Mothers,0.7080323571
home,50_50,47,Fathers,0.76306519376
home,50_50,47,Female candidates,0.396421786123
home,50_50,47,Male candidates,0.669059460736
home,50_50,47,Mothers,0.71454753439
