Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
36 import gvNormUnres1 5.99529999593993 1.46021425088253 2.13222565848043 0.962596393411591 3.44620302352161 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
37 import gvNormUnres1 6.23040555904122 1.47103082063886 2.16393167526944 0.969726847747478 3.60118833952953 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
38 import gvNormUnres1 6.46851934156282 1.4185766240133 2.01235963819699 0.935148209400026 3.75815672149016 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
39 import gvNormUnres1 6.76026535847624 1.43748942739738 2.06637585387924 0.947615829350871 3.95048032297763 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
40 import gvNormUnres1 6.93829375167109 1.40001567390462 1.96004388717861 0.922912536708766 4.06783946333025 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
41 import gvNormUnres1 6.9909958036783 1.45455008592975 2.11571595247823 0.95886248604016 4.10258149187632 SU55 GenGen 4 2.62304846832247 1 1.61958280687419 NA NA NA NA NA NA NA 100_100
42 import gvNormUnres1 7.16372392972495 1.45432574737483 2.11506337947736 0.958714598506715 4.21644661206177 SU55 GenGen 4 2.61868192766104 1 1.61823420049789 NA NA NA NA NA NA NA 100_100
43 import gvNormUnres1 7.39569755013476 1.45883010359435 2.12818527115309 0.961683941566424 4.36936730177436 SU55 GenGen 4 2.61119916246675 1 1.61592053098745 NA NA NA NA NA NA NA 100_100
44 import gvNormUnres1 7.58146885353243 1.46226503471445 2.13821903174845 0.963948302639349 4.49183069133647 SU55 GenGen 4 2.60861337532391 1 1.61512023556264 NA NA NA NA NA NA NA 100_100
45 import gvNormUnres1 7.76026189935043 1.49479979004504 2.23442641231869 0.985395729359657 4.60969390282578 SU55 GenGen 4 2.60314295374481 1 1.61342584389392 NA NA NA NA NA NA NA 100_100
46 import gvNormUnres1 8.02736610011074 1.48778611854372 2.2135075345314 0.980772205868048 4.78577322828201 SU55 GenGen 4 2.59909700191925 1 1.61217151752512 NA NA NA NA NA NA NA 100_100
47 import gvNormUnres1 8.29589773780009 1.46192494553885 2.13722454638878 0.963724110460928 4.96279354280123 SU55 GenGen 4 2.59596489085074 1 1.61119982958376 NA NA NA NA NA NA NA 100_100
48 import gvNormUnres1 8.48821932153296 1.49506382399088 2.23521583780624 0.985569784724378 5.08957498104879 SU55 GenGen 4 2.59175953709579 1 1.60989426270665 NA NA NA NA NA NA NA 100_100
49 import gvNormUnres1 8.74640915448801 1.46469190886363 2.14532238789059 0.9655481365691 5.25977781386449 SU55 GenGen 4 2.58767075666945 1 1.60862387047733 NA NA NA NA NA NA NA 100_100
50 import gvNormUnres1 9.02953324807535 1.48307389907631 2.19950819012142 0.977665836058582 5.44641770675034 SU55 GenGen 4 2.58507858702891 1 1.60781795829905 NA NA NA NA NA NA NA 100_100
51 import gvNormUnres1 9.25908615042422 1.49996944149482 2.24990832541827 0.988803645586844 5.59774262072419 SU55 GenGen 4 2.58097811649375 1 1.60654228593391 NA NA NA NA NA NA NA 100_100
52 import gvNormUnres1 9.45525125774406 1.49941831211333 2.24825527470078 0.988440332357568 5.72705777067917 SU55 GenGen 4 2.57065337586479 1 1.6033257235711 NA NA NA NA NA NA NA 100_100
53 import gvNormUnres1 9.760675722504 1.48318507459812 2.19983796551062 0.977739124725817 5.92839842192942 SU55 GenGen 4 2.56557845177275 1 1.60174231753199 NA NA NA NA NA NA NA 100_100
54 import gvNormUnres1 10.0888066558851 1.48878949284619 2.2164941540092 0.981433646121907 6.14470753742296 SU55 GenGen 4 2.5580470445321 1 1.59938958497675 NA NA NA NA NA NA NA 100_100
55 import gvNormUnres1 10.2708259037924 1.47333202971331 2.17070726977914 0.971243841266896 6.26469751249759 SU55 GenGen 4 2.54936861883188 1 1.59667423691618 NA NA NA NA NA NA NA 100_100
56 import gvNormUnres1 10.6224862359869 1.49118002086813 2.22361785463628 0.983009520108128 6.49651758086893 SU55 GenGen 4 2.53944265466358 1 1.59356288067449 NA NA NA NA NA NA NA 100_100
57 import gvNormUnres1 10.8303989918021 1.49734700668414 2.24204805842595 0.987074894967412 6.63357696703162 SU55 GenGen 4 2.53370418392683 1 1.59176134641058 NA NA NA NA NA NA NA 100_100
58 import gvNormUnres1 11.0982026878338 1.48449928962101 2.20373814088527 0.978605476112564 6.81011741086484 SU55 GenGen 4 2.52558161514449 1 1.58920785775319 NA NA NA NA NA NA NA 100_100
