,Category,EBVGen,Cor,Group,Trait,Scenario,Rep,Generation,Strategy
0,Fathers,EBV24,0.4397674905445568,home,3,0_0,0,24,ClassGen
1,Female candidates,EBV24,0.36166825966009664,home,3,0_0,0,24,ClassGen
2,Male candidates,EBV24,0.757053564714058,home,3,0_0,0,24,ClassGen
3,Male candidates1,EBV24,0.06352729982719546,home,3,0_0,0,24,ClassGen
4,Mothers,EBV24,0.5971257602756264,home,3,0_0,0,24,ClassGen
0,Fathers,EBV25,0.1318251837196126,home,3,0_0,0,25,ClassGen
1,Female candidates,EBV25,0.3543334696418799,home,3,0_0,0,25,ClassGen
2,Male candidates,EBV25,0.9297340224888166,home,3,0_0,0,25,ClassGen
3,Male candidates1,EBV25,0.20042618596763287,home,3,0_0,0,25,ClassGen
4,Mothers,EBV25,0.6022245407450525,home,3,0_0,0,25,ClassGen
0,Fathers,EBV26,0.6700815955323087,home,3,0_0,0,26,ClassGen
1,Female candidates,EBV26,0.33572558015387444,home,3,0_0,0,26,ClassGen
2,Male candidates,EBV26,0.9745239677184688,home,3,0_0,0,26,ClassGen
3,Male candidates1,EBV26,0.32698164504317034,home,3,0_0,0,26,ClassGen
4,Mothers,EBV26,0.5810886097747577,home,3,0_0,0,26,ClassGen
0,Fathers,EBV27,0.8030170050571535,home,3,0_0,0,27,ClassGen
1,Female candidates,EBV27,0.34298228229045385,home,3,0_0,0,27,ClassGen
2,Male candidates,EBV27,0.9518731116017514,home,3,0_0,0,27,ClassGen
3,Male candidates1,EBV27,0.31659668536070673,home,3,0_0,0,27,ClassGen
4,Mothers,EBV27,0.5658348885717345,home,3,0_0,0,27,ClassGen
0,Fathers,EBV28,0.7699338528039338,home,3,0_0,0,28,ClassGen
1,Female candidates,EBV28,0.35411146119242587,home,3,0_0,0,28,ClassGen
2,Male candidates,EBV28,0.8923729801596365,home,3,0_0,0,28,ClassGen
3,Male candidates1,EBV28,0.2722187724172871,home,3,0_0,0,28,ClassGen
4,Mothers,EBV28,0.569672781701278,home,3,0_0,0,28,ClassGen
0,Fathers,EBV29,0.7404288131725894,home,3,0_0,0,29,ClassGen
1,Female candidates,EBV29,0.3525753428518056,home,3,0_0,0,29,ClassGen
2,Male candidates,EBV29,0.7533675323919543,home,3,0_0,0,29,ClassGen
3,Male candidates1,EBV29,0.28742885607709784,home,3,0_0,0,29,ClassGen
4,Mothers,EBV29,0.5543823833520616,home,3,0_0,0,29,ClassGen
0,Fathers,EBV30,0.7628961752039929,home,3,0_0,0,30,ClassGen
1,Female candidates,EBV30,0.3087342728597335,home,3,0_0,0,30,ClassGen
2,Male candidates,EBV30,0.923842148177408,home,3,0_0,0,30,ClassGen
3,Male candidates1,EBV30,0.24989936798910065,home,3,0_0,0,30,ClassGen
4,Mothers,EBV30,0.5418788799891272,home,3,0_0,0,30,ClassGen
0,Fathers,EBV31,0.8097375273011518,home,3,0_0,0,31,ClassGen
1,Female candidates,EBV31,0.30176181534599,home,3,0_0,0,31,ClassGen
2,Male candidates,EBV31,0.8863785988601859,home,3,0_0,0,31,ClassGen
3,Male candidates1,EBV31,0.3015080024130506,home,3,0_0,0,31,ClassGen
4,Mothers,EBV31,0.5403080343844286,home,3,0_0,0,31,ClassGen
0,Fathers,EBV32,0.911153426963689,home,3,0_0,0,32,ClassGen
1,Female candidates,EBV32,0.3064720302762668,home,3,0_0,0,32,ClassGen
2,Male candidates,EBV32,0.9754315127104678,home,3,0_0,0,32,ClassGen
3,Male candidates1,EBV32,-0.0585628370284195,home,3,0_0,0,32,ClassGen
4,Mothers,EBV32,0.5220937172013207,home,3,0_0,0,32,ClassGen
