Group,Strategy,Scenario,Generation,Category,Cor
home,ClassGen,100_100,28,Male candidates,0.8923729801596365
home,ClassGen,100_100,28,Male candidates1,0.2722187724172871
home,ClassGen,100_100,28,Mothers,0.569672781701278
home,ClassGen,100_100,29,Fathers,0.7404288131725894
home,ClassGen,100_100,29,Female candidates,0.3525753428518056
home,ClassGen,100_100,29,Male candidates,0.7533675323919543
home,ClassGen,100_100,29,Male candidates1,0.28742885607709784
home,ClassGen,100_100,29,Mothers,0.5543823833520616
home,ClassGen,100_100,30,Fathers,0.7628961752039929
home,ClassGen,100_100,30,Female candidates,0.3087342728597335
home,ClassGen,100_100,30,Male candidates,0.923842148177408
home,ClassGen,100_100,30,Male candidates1,0.24989936798910065
home,ClassGen,100_100,30,Mothers,0.5418788799891272
home,ClassGen,100_100,31,Fathers,0.8029909822322657
home,ClassGen,100_100,31,Female candidates,0.3014169406593667
home,ClassGen,100_100,31,Male candidates,0.8860895159065015
home,ClassGen,100_100,31,Male candidates1,0.20321777152197498
home,ClassGen,100_100,31,Mothers,0.5416436874472641
home,ClassGen,100_100,32,Fathers,0.9088463966641865
home,ClassGen,100_100,32,Female candidates,0.10477757247604003
home,ClassGen,100_100,32,Male candidates,0.9764766730305329
home,ClassGen,100_100,32,Male candidates1,0.07382325753081052
home,ClassGen,100_100,32,Mothers,0.5175794937117034
home,ClassGen,100_100,33,Fathers,0.9009461408227355
home,ClassGen,100_100,33,Female candidates,0.08819734600129707
home,ClassGen,100_100,33,Male candidates,0.9408558664541238
home,ClassGen,100_100,33,Male candidates1,0.12609460741317377
home,ClassGen,100_100,33,Mothers,0.5217990798740009
home,ClassGen,100_100,34,Fathers,0.8933537457859285
home,ClassGen,100_100,34,Female candidates,0.2121593872689684
home,ClassGen,100_100,34,Male candidates,0.9550031762000296
home,ClassGen,100_100,34,Male candidates1,0.3815292852614854
home,ClassGen,100_100,34,Mothers,0.5274137805086976
home,ClassGen,100_100,35,Fathers,0.85621205614023
home,ClassGen,100_100,35,Female candidates,0.11802140626539663
home,ClassGen,100_100,35,Male candidates,0.6777536269921306
home,ClassGen,100_100,35,Male candidates1,-0.05956913910207819
home,ClassGen,100_100,35,Mothers,0.538452232573216
home,ClassGen,100_100,36,Fathers,0.773337331214402
home,ClassGen,100_100,36,Female candidates,0.15452809007055307
home,ClassGen,100_100,36,Male candidates,0.8417883430009486
home,ClassGen,100_100,36,Male candidates1,0.24869609889176428
home,ClassGen,100_100,36,Mothers,0.5505790479691544
home,ClassGen,100_100,37,Fathers,0.6091702228493238
home,ClassGen,100_100,37,Female candidates,0.3155734479634489
home,ClassGen,100_100,37,Male candidates,0.7566836871818217
home,ClassGen,100_100,37,Male candidates1,0.2538334685793246
home,ClassGen,100_100,37,Mothers,0.5794131333796299
home,ClassGen,100_100,38,Fathers,0.6019898876454873
home,ClassGen,100_100,38,Female candidates,0.21965630633913183
home,ClassGen,100_100,38,Male candidates,0.858163797956762
home,ClassGen,100_100,38,Male candidates1,0.23916518071404252
home,ClassGen,100_100,38,Mothers,0.6040085407724345
home,ClassGen,100_100,39,Fathers,0.5227018139501346
home,ClassGen,100_100,39,Female candidates,0.19175481513396353
home,ClassGen,100_100,39,Male candidates,0.9417813426420393
home,ClassGen,100_100,39,Male candidates1,0.04617319139938822
home,ClassGen,100_100,39,Mothers,0.619262918460815
home,ClassGen,100_100,40,Fathers,0.6231006298459659
home,ClassGen,100_100,40,Female candidates,0.21048731064145887
home,ClassGen,100_100,40,Male candidates,0.9612567514907765
home,ClassGen,100_100,40,Male candidates1,0.09114551679585813
home,ClassGen,100_100,40,Mothers,0.6310063542930255
home,ClassGen,100_100,41,Fathers,0.7384135823374544
home,ClassGen,100_100,41,Female candidates,0.32277732999816633
home,ClassGen,100_100,41,Male candidates,0.19346339072277322
home,ClassGen,100_100,41,Mothers,0.6861258971788675
home,ClassGen,100_100,42,Fathers,0.8481467967504501
home,ClassGen,100_100,42,Female candidates,0.4336311926807689
home,ClassGen,100_100,42,Male candidates,0.7411867768179482
home,ClassGen,100_100,42,Mothers,0.7160712014863753
home,ClassGen,100_100,43,Fathers,0.8707598224384134
home,ClassGen,100_100,43,Female candidates,0.43068403998107296
home,ClassGen,100_100,43,Male candidates,0.7446430847308347
home,ClassGen,100_100,43,Mothers,0.7310483474095242
home,ClassGen,100_100,44,Fathers,0.7953292772745033
home,ClassGen,100_100,44,Female candidates,0.4459061609992655
home,ClassGen,100_100,44,Male candidates,0.7910437492240556
home,ClassGen,100_100,44,Mothers,0.7325990184639506
home,ClassGen,100_100,45,Fathers,0.7035687814684471
home,ClassGen,100_100,45,Female candidates,0.4650061467560597
home,ClassGen,100_100,45,Male candidates,0.8991327395998779
home,ClassGen,100_100,45,Mothers,0.7358731452959479
home,ClassGen,100_100,46,Fathers,0.7006757424104164
home,ClassGen,100_100,46,Female candidates,0.44007422854022893
home,ClassGen,100_100,46,Male candidates,0.8307253475575975
home,ClassGen,100_100,46,Mothers,0.7290770175588512
home,ClassGen,100_100,47,Fathers,0.7453670525356245
home,ClassGen,100_100,47,Female candidates,0.43846604088057384
home,ClassGen,100_100,47,Male candidates,0.8109039467113186
home,ClassGen,100_100,47,Mothers,0.7248406022753514
home,ClassGen,100_100,48,Fathers,0.7447573550456529
home,ClassGen,100_100,48,Female candidates,0.42227264349092897
home,ClassGen,100_100,48,Male candidates,0.7846091031800272
home,ClassGen,100_100,48,Mothers,0.7275485290048483
home,ClassGen,100_100,49,Fathers,0.6546571725104481
home,ClassGen,100_100,49,Female candidates,0.4229293649482528
home,ClassGen,100_100,49,Male candidates,0.8043414821640827
home,ClassGen,100_100,49,Mothers,0.7312827573544686
home,ClassGen,100_100,50,Fathers,0.6592942053217609
home,ClassGen,100_100,50,Female candidates,0.38262806968207075
home,ClassGen,100_100,50,Male candidates,0.7952793919546466
home,ClassGen,100_100,50,Mothers,0.7307063274246877
home,ClassGen,10_10,21,Fathers,0.03227091001319672
home,ClassGen,10_10,21,Female candidates,0.03895730369965889
home,ClassGen,10_10,21,Male candidates,0.7363987770512435
home,ClassGen,10_10,21,Male candidates1,-0.009426529081587696
