Generation N Sum home import Population Rep Import Scenario Cor
31 8640 1 0 1 import 0 25_25 GenGen 0.9
32 8640 1 0 1 import 0 25_25 GenGen 0.9
33 8640 1 0 1 import 0 25_25 GenGen 0.9
34 8640 1 0 1 import 0 25_25 GenGen 0.9
35 8640 1 0 1 import 0 25_25 GenGen 0.9
36 8640 1 0 1 import 0 25_25 GenGen 0.9
37 8640 1 0 1 import 0 25_25 GenGen 0.9
38 8640 1 0 1 import 0 25_25 GenGen 0.9
39 8640 1 0 1 import 0 25_25 GenGen 0.9
40 8640 1 0 1 import 0 25_25 GenGen 0.9
41 8640 1 0 1 import 0 25_25 GenGen 0.9
42 8640 1 0 1 import 0 25_25 GenGen 0.9
43 8640 1 0 1 import 0 25_25 GenGen 0.9
44 8640 1 0 1 import 0 25_25 GenGen 0.9
45 8640 1 0 1 import 0 25_25 GenGen 0.9
46 8640 1 0 1 import 0 25_25 GenGen 0.9
47 8640 1 0 1 import 0 25_25 GenGen 0.9
48 8640 1 0 1 import 0 25_25 GenGen 0.9
49 8640 1 0 1 import 0 25_25 GenGen 0.9
50 8640 1 0 1 import 0 25_25 GenGen 0.9
30 8640 1 1 0 home 0 10_10 GenGen 0.9
31 8640 1 1 0 home 0 10_10 GenGen 0.9
32 8640 1 0.990856481481482 0.00914351851851852 home 0 10_10 GenGen 0.9
33 8640 1 0.979340277777778 0.0206597222222222 home 0 10_10 GenGen 0.9
34 8640 1 0.972222222222222 0.0277777777777778 home 0 10_10 GenGen 0.9
35 8640 1 0.956770833333333 0.0432291666666667 home 0 10_10 GenGen 0.9
36 8640 1 0.947887731481482 0.0521122685185185 home 0 10_10 GenGen 0.9
37 8640 1 0.944907407407407 0.0550925925925926 home 0 10_10 GenGen 0.9
38 8640 1 0.930396412037037 0.069603587962963 home 0 10_10 GenGen 0.9
39 8640 1 0.918706597222222 0.0812934027777778 home 0 10_10 GenGen 0.9
40 8640 1 0.917809606481481 0.0821903935185185 home 0 10_10 GenGen 0.9
41 8640 1 0.912181712962963 0.087818287037037 home 0 10_10 GenGen 0.9
42 8640 1 0.904282407407407 0.0957175925925926 home 0 10_10 GenGen 0.9
